"Date","Price","Open","High","Low","Change %"
"10/26/2022","158.74","158.74","158.74","145.11","-0.02%"
"10/25/2022","158.77","158.77","158.77","158.74","-1.17%"
"10/24/2022","160.65","160.65","160.76","160.65","-0.08%"
"10/21/2022","160.78","160.78","160.79","160.78","-0.01%"
"10/20/2022","160.79","160.79","160.80","160.79","5.13%"
"10/19/2022","152.95","152.95","153.07","152.95","-1.82%"
"10/18/2022","155.79","155.79","155.82","155.79","-6.48%"
"10/17/2022","166.58","166.58","166.58","166.46","3.03%"
"10/14/2022","161.68","161.68","161.68","161.62","-0.06%"
"10/13/2022","161.78","161.78","161.98","161.78","-0.55%"
"10/12/2022","162.67","162.67","162.70","162.67","-1.85%"
"10/11/2022","165.74","165.74","165.74","165.61","4.35%"
"10/10/2022","158.83","158.83","158.86","158.83","3.16%"
"10/07/2022","153.96","153.96","154.03","153.96","1.97%"
"10/06/2022","150.98","150.98","151.02","150.98","4.75%"
"10/05/2022","144.13","144.13","144.18","144.13","-8.64%"
"10/04/2022","157.76","157.76","157.76","157.76","-0.04%"
"10/03/2022","157.83","157.83","157.83","157.73","-0.04%"
"09/30/2022","157.89","157.89","157.89","157.88","-5.39%"
"09/29/2022","166.88","166.88","166.88","164.89","0.11%"
"09/28/2022","166.69","166.69","166.69","166.57","8.17%"
"09/27/2022","154.10","154.10","154.10","151.04","-0.10%"
"09/26/2022","154.25","154.25","154.25","141.39","9.13%"
"09/23/2022","141.35","141.35","141.39","141.35","5.08%"
"09/22/2022","134.52","134.52","134.52","134.50","4.68%"
"09/21/2022","128.51","128.51","128.52","128.51","4.78%"
"09/20/2022","122.65","122.65","122.68","122.65","11.63%"
"09/19/2022","109.87","109.87","111.85","109.87","0.00%"
"09/16/2022","109.87","109.87","109.87","109.87","4.70%"
"09/15/2022","104.94","104.94","104.94","104.94","-2.29%"
"09/14/2022","107.40","107.40","107.41","107.40","-12.47%"
